"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s","SAll"
"Igushik",348051.844602879,272831.05083765,471347.844026504,463143.5,484263.5,397043,390513,364075.319148936
"Wood",1684913.27054843,1272683.23706665,2330476.7502019,1275664.83333333,1243330,1402894.5,1712226,1286069.44680851
"Nushagak",884716.979407537,590768.603630787,273106896.3433,771461.41928,919208.333775,574752.212333333,602836.81466,573531.387442766
"Kvichak",6431863.77333877,4645790.55289847,8996339.31806955,6505606.83333333,6457240.83333333,4392410,2403676.8,5052534.91489362
"Alagnak",812993.028234017,635762.178699502,1049892.90298171,280112.583333333,482621.2875,730613.25,2328205.5,822200.70212766
"Naknek",1919555.69592446,1266576.45741331,3929724.73054613,1205454.83333333,1707296.58333333,1587707.5,1952592,1432188.17021277
"Egegik",3535505.0821361,2056698.30142866,6416314.77737743,813618,1372628.16666667,1552218.08333333,1240460.2,1162089.78723404
"Ugashik",1783194.47106409,1163899.7807055,2884751.00377506,740377.666666667,1369024.33333333,1224711.83333333,1037830.4,936608.14893617
