"","meanUmsy","lowerCI","upperCI","U1970s","U1980s","U1990s","U2000s","UAll"
"Igushik",0.542202089563019,0.441742587347812,0.631716398434687,0.1870367685,0.363200426666667,0.324148674583333,0.4080543103,0.305014367021277
"Wood",0.609653008266265,0.541074726251872,0.676424761815352,0.430642322333333,0.609319362083333,0.6590604315,0.7275815789,0.572874715553191
"Nushagak",0.558784531637442,0.432390438830455,0.648830279958336,0.380616143333333,0.574353184583333,0.552007233333333,0.6911828659,0.517827945234043
"Kvichak",0.430655030901123,0.324562253517971,0.529547284750822,0.379328195833333,0.522449779,0.4895875015,0.3355378528,0.422030451191489
"Alagnak",0.583777800170818,0.487128522602153,0.676997826276724,0.371071959166667,0.518983607666667,0.531867717666667,0.3187798757,0.436384789638298
"Naknek",0.580140339452044,0.483392535121106,0.675202324747708,0.513142693,0.609520088583333,0.6008930685,0.4239027521,0.515014985702128
"Egegik",0.656468009393433,0.587702192032649,0.723742376790016,0.552281467166667,0.787916653416667,0.825241156333333,0.8082395131,0.709944297723404
"Ugashik",0.543019651487078,0.429772305081522,0.643514917295428,0.281033410416667,0.660562044333333,0.675000299166667,0.6744197578,0.554155618319149
