"period","measure","means","sd"
"S1970s","Smsy",0.69863654407215,0.370523374276975
"S1980s","Smsy",0.851405134436063,0.305261346258626
"S1990s","Smsy",0.769697129010528,0.206925832207584
"S2000s","Smsy",1.00089134654132,0.808776489315704
"S1970s","Umsy",0.68653521259049,0.188656587554431
"S1980s","Umsy",1.03333446051704,0.188279941864639
"S1990s","Umsy",1.03132344592876,0.211688083236509
"S2000s","Umsy",0.964003055185754,0.288785101952591
