"","meanUmsy","lowerCI","upperCI","U1970s","U1980s","U1990s","U2000s","UAll"
"Igushik",0.54161637841494,0.44090612505555,0.631198160957656,0.1761333702,0.3637638322,0.314492275,0.4080543103,0.305014367021277
"Wood",0.608979304241462,0.541227594337637,0.677391978419232,0.3901957556,0.5915251495,0.6482846413,0.7275815789,0.572874715553191
"Nushagak",0.559222214000672,0.428851786692475,0.648374143781383,0.3601225816,0.5680183406,0.5403838298,0.6911828659,0.517827945234043
"Kvichak",0.431134084925462,0.325913697219612,0.528957988498336,0.3454098513,0.5198008659,0.5062773686,0.3355378528,0.422030451191489
"Alagnak",0.583221613746416,0.487958693666325,0.675097395096857,0.3734060145,0.5011410814,0.5598441875,0.3187798757,0.436384789638298
"Naknek",0.579223201153364,0.48447787108358,0.675498176759203,0.4931300099,0.5967172939,0.6243875593,0.4239027521,0.515014985702128
"Egegik",0.656797172302076,0.587063415366185,0.722180483687204,0.5115980292,0.7948617891,0.8311205188,0.8082395131,0.709944297723404
"Ugashik",0.543482012655048,0.429369766130659,0.645528092543909,0.2486687506,0.6642920335,0.6982623722,0.6744197578,0.554155618319149
