"","meanUmsy","lowerCI","upperCI","U1970s","U1980s","U1990s","U2000s"
"Igushik",0.538556683918145,0.438008896218793,0.628661899391927,0.1761333702,0.3637638322,0.314492275,0.407775654888889
"Wood",0.6062513813893,0.538167092722355,0.675354578655919,0.3901957556,0.5915251495,0.6482846413,0.725916951777778
"Nushagak",0.556212187348984,0.426016461537683,0.646010269281463,0.3601225816,0.5680183406,0.5403838298,0.695556378777778
"Kvichak",0.428286475803229,0.32383607570323,0.525878308411867,0.3454098513,0.5198008659,0.5062773686,0.324395298222222
"Alagnak",0.58032144581744,0.484898901461311,0.673033117358137,0.3734060145,0.5011410814,0.5598441875,0.306614203444444
"Naknek",0.576301321040458,0.481425332061398,0.673438585825922,0.4931300099,0.5967172939,0.6243875593,0.412937797888889
"Egegik",0.654524317252966,0.584185392627795,0.72065148296718,0.5115980292,0.7948617891,0.8311205188,0.801728055555556
"Ugashik",0.540426363595182,0.426531630565943,0.643134358655137,0.2486687506,0.6642920335,0.6982623722,0.670399258333333
