"period","measure","means","sd"
"S1970s","Smsy",0.884645921572719,0.46661405736337
"S1980s","Smsy",1.06480175842594,0.556874465198759
"S1990s","Smsy",NA,NA
"S2000s","Smsy",1.61858850417115,1.13123139511704
"S1970s","Umsy",0.908217223058627,0.268069796833036
"S1980s","Umsy",0.894566856687763,0.278813737966429
"S1990s","Umsy",NA,NA
"S2000s","Umsy",0.712206597552219,0.233212246824057
