"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s","SAll"
"Igushik",348655.571227548,274006.736113424,470165.664219015,297904.8,468923.4,394160.4,390513,364075.319148936
"Wood",1685075.04614224,1269690.07651299,2327756.59808776,1110562,1269060,1407597.6,1712226,1286069.44680851
"Nushagak",889434.353392059,592060.727983469,280101771.86889,446952.774236,973323.86197,555362.78763,602836.81466,573531.387442766
"Kvichak",6444493.61764688,4670526.02769606,9000636.35455421,5380765.6,6629408.2,4978579.2,2403676.8,5052534.91489362
"Alagnak",814011.990573272,634221.031522891,1051307.89173198,239207.05,465326.55,693569.4,2328205.5,822200.70212766
"Naknek",1922314.72007029,1262645.34538121,3882713.78126681,1002454,1481647.3,1584664.2,1952592,1432188.17021277
"Egegik",3549923.36460005,2084177.81709495,6391317.82984314,800787.6,1149303.1,1662560.7,1240460.2,1162089.78723404
"Ugashik",1786743.88700638,1171582.66378076,2871678.327714,422154.9,1319679.8,1319175.4,1037830.4,936608.14893617
