CU,BY,Esc,Rec,rps,ER
Nushagak,1965,255793.5021,779753.6917,3.048371774,0.497231219
Nushagak,1966,233577.6147,701565.6787,3.003565558,0.351280001
Nushagak,1967,74002.81765,227033.0846,3.067897843,0.408708785
Nushagak,1968,142360.4153,344179.4716,2.417662739,0.227566741
Nushagak,1969,95805.0467,493692.3906,5.153093783,0.398062628
Nushagak,1970,452891.7581,988763.6277,2.183222834,0.403253572
Nushagak,1971,312699.1781,1010998.912,3.233135815,0.457610165
Nushagak,1972,39850.56376,1147979.909,28.80711842,0.387552916
Nushagak,1973,210600.7728,1380189.184,6.553580816,0.27626549
Nushagak,1974,204190.1742,383622.7932,1.878752466,0.14783532
Nushagak,1975,832092.6013,5995148.834,7.204905829,0.157337763
Nushagak,1976,520302.5868,4351923.973,8.364217445,0.465097222
Nushagak,1977,611588.3606,3236088.566,5.291285405,0.384113521
Nushagak,1978,734040.0845,1513724.711,2.062182628,0.463094326
Nushagak,1979,551271.6622,1846152.623,3.348898102,0.459065521
Nushagak,1980,3669136.414,1210265.699,0.329850287,0.277110499
Nushagak,1981,1118872.875,1976756.705,1.766739322,0.689057405
Nushagak,1982,664579.7666,1335148.5,2.009011659,0.818046129
Nushagak,1983,446845.0461,1548737.917,3.465939548,0.782513985
Nushagak,1984,655739.2017,761247.3509,1.16089956,0.492806128
Nushagak,1985,551319.2218,1416869.926,2.569962864,0.416642899
Nushagak,1986,1095241.259,2092573.597,1.910605156,0.526489882
Nushagak,1987,429181.6128,1905456.274,4.439743495,0.677945649
Nushagak,1988,534459.8784,2557338.624,4.784902903,0.493782511
Nushagak,1989,567863.3443,1398722.07,2.463131463,0.505788319
Nushagak,1990,752513.138,1189247.187,1.580367341,0.570371946
Nushagak,1991,544748.2476,1491481.646,2.737928305,0.641682863
Nushagak,1992,768816.1441,1212574.098,1.577196456,0.56718308
Nushagak,1993,790926.9579,1074278.186,1.358252081,0.675894269
Nushagak,1994,563334.117,425915.194,0.756061423,0.589108033
Nushagak,1995,311136.3458,1198477.047,3.851935215,0.602790077
Nushagak,1996,557057.3491,2335512.434,4.192588857,0.644194733
Nushagak,1997,412591.0367,544301.8819,1.319228566,0.45294025
Nushagak,1998,507532.2674,2665495.875,5.251874701,0.451828652
Nushagak,1999,344972.2727,1753715.658,5.08364236,0.207844395
Nushagak,2000,446286.4967,3938655.101,8.825396086,0.65182125
Nushagak,2001,897112.175,2662843.388,2.968239048,0.568427252
Nushagak,2002,349155.3099,2083211.472,5.966432166,0.475806221
Nushagak,2003,642092.8998,2196682.613,3.421128957,0.728831592
Nushagak,2004,543872.2652,1836096.024,3.375969214,0.72803463
Nushagak,2005,1106703,1418239.138,1.281499316,0.691521234
Nushagak,2006,548410,1237548.687,2.256612182,0.79460072
Nushagak,2007,518041,911789.4019,1.76007189,0.781907204
Nushagak,2008,492546,2169246.073,4.404149203,0.730807946
Nushagak,2009,484149,1284510.505,2.653130554,0.76007061
Kvichak,1963,338760,1388215.862,4.097933232,0.356711691
Kvichak,1964,957120,5763514.808,6.021726438,0.538735169
Kvichak,1965,24325926,45820688.66,1.883615393,0.427105486
Kvichak,1966,3755185,6522061.738,1.736815027,0.510228257
Kvichak,1967,3216208,1784047.97,0.554705408,0.344982977
Kvichak,1968,2557440,635324.0881,0.248421894,0.256035015
Kvichak,1969,8394204,5513626.38,0.656837311,0.331373225
Kvichak,1970,13935306,15363871.76,1.102514129,0.538618107
Kvichak,1971,2387392,2036285.127,0.852932877,0.595882685
Kvichak,1972,1009962,3248671.177,3.216627138,0.363569412
Kvichak,1973,226554,2203241.201,9.725015672,0.200562537
Kvichak,1974,4433844,25784407.3,5.815361862,0.080144664
Kvichak,1975,13140450,37439011.07,2.849142234,0.142371478
Kvichak,1976,1965282,10716322.99,5.452816944,0.411602039
Kvichak,1977,1341144,3089502.384,2.303632111,0.116644673
Kvichak,1978,4149288,5055228.084,1.218336274,0.466675369
Kvichak,1979,11218434,43049769.85,3.837413479,0.538027549
Kvichak,1980,22505268,12597312.73,0.55974951,0.371039764
Kvichak,1981,1754358,2048788.633,1.167828136,0.726800073
Kvichak,1982,1134840,1509245.581,1.329919267,0.550290538
Kvichak,1983,3569982,13775450.62,3.858689098,0.825642288
Kvichak,1984,10490670,23287184.54,2.219799549,0.53912723
Kvichak,1985,7211046,18314832.78,2.539830252,0.458949099
Kvichak,1986,1179322,4114460.428,3.488835473,0.396648716
Kvichak,1987,6065880,11648130.47,1.920270509,0.387014859
Kvichak,1988,4065216,9205714.469,2.264508078,0.372740733
Kvichak,1989,8317500,24800932.66,2.981777296,0.569755359
Kvichak,1990,6970020,26298686.41,3.773114914,0.59595407
Kvichak,1991,4222788,4637249.704,1.098148831,0.475434619
Kvichak,1992,4725864,1875602.784,0.396880398,0.536127109
Kvichak,1993,4025166,3130469.759,0.777724387,0.448886238
Kvichak,1994,8355936,7303050.485,0.873995503,0.578163033
Kvichak,1995,10038720,10636781.67,1.059575491,0.623943809
Kvichak,1996,1450578,2260607.402,1.55841837,0.663511581
Kvichak,1997,1503732,816242.3307,0.54281104,0.31006535
Kvichak,1998,2296074,1254498.876,0.546366919,0.332684605
Kvichak,1999,6196914,7378782.214,1.190718834,0.498003272
Kvichak,2000,1827780,4261658.276,2.331603517,0.435820844
Kvichak,2001,1095348,4421264.703,4.036401859,0.376455488
Kvichak,2002,703884,3881251.198,5.514049471,0.117865822
Kvichak,2003,1686804,4966280.666,2.944195452,0.071292901
Kvichak,2004,5500134,10918273.76,1.985092319,0.272942799
Kvichak,2005,2320332,9582839.309,4.129943176,0.080198296
Kvichak,2006,3068226,8319190.61,2.711400858,0.431511788
Kvichak,2007,2810208,12795125.67,4.553088478,0.442746088
Kvichak,2008,2757912,6577117.743,2.384817841,0.494091377
Kvichak,2009,2266140,12889440.1,5.687839277,0.632453125
Alagnak,1963,203304,414873.3282,2.04065502,0.364616657
Alagnak,1964,248700,381899.903,1.535584652,0.655593771
Alagnak,1965,175020,259728.9081,1.48399559,0.496181444
Alagnak,1966,174336,565583.8662,3.244217294,0.496277943
Alagnak,1967,202626,389348.7678,1.921514356,0.348611951
Alagnak,1968,193872,249192.0859,1.28534335,0.267646959
Alagnak,1969,182490,180184.6242,0.987367112,0.349444797
Alagnak,1970,177060,145641.7546,0.822555939,0.596395596
Alagnak,1971,187302,324752.4851,1.733844193,0.592799455
Alagnak,1972,151188,124167.5566,0.82127918,0.335174722
Alagnak,1973,35280,512939.7287,14.53910796,0.192342078
Alagnak,1974,214848,2290908.617,10.66292736,0.086259695
Alagnak,1975,100480,1022274.025,10.1739055,0.048108192
Alagnak,1976,81822,344708.6273,4.212908843,0.422076837
Alagnak,1977,108910.5,1002659.12,9.206266799,0.487866592
Alagnak,1978,584970,2175584.171,3.719138025,0.45020198
Alagnak,1979,750210,2108487.731,2.810530027,0.522834998
Alagnak,1980,759645,643094.9961,0.846573065,0.057276825
Alagnak,1981,209635.5,1182706.205,5.641726733,0.66152654
Alagnak,1982,610215,773488.0032,1.267566355,0.494572476
Alagnak,1983,245361,456604.2529,1.860948777,0.903325654
Alagnak,1984,549193.5,2467946.887,4.493765652,0.520295267
Alagnak,1985,300976.5,1645392.705,5.466847761,0.616467656
Alagnak,1986,586959,2032311.186,3.462441475,0.40131545
Alagnak,1987,393235.5,770409.0316,1.959154328,0.43283217
Alagnak,1988,496306.5,1273820.866,2.566601215,0.359074911
Alagnak,1989,501738,2741824.98,5.464654819,0.564723865
Alagnak,1990,430338,1283664.681,2.982921985,0.679836612
Alagnak,1991,707851.95,3434249.088,4.851648834,0.536555866
Alagnak,1992,577939.65,186844.2374,0.323293682,0.564565291
Alagnak,1993,887336.25,1506976.675,1.698315239,0.598684774
Alagnak,1994,618464.25,1563841.369,2.528588142,0.647808849
Alagnak,1995,550068.15,3896348.935,7.083393095,0.705883816
Alagnak,1996,782212.5,1421615.408,1.817428651,0.650390773
Alagnak,1997,556193.25,1391084.721,2.501081632,0.24641447
Alagnak,1998,643110,2777779.55,4.319291489,0.392024494
Alagnak,1999,1182180,3726492.912,3.152221245,0.57627693
Alagnak,2000,1150815,9751286.327,8.473374372,0.428270926
Alagnak,2001,680850,1677183.279,2.46336679,0.355699811
Alagnak,2002,766962,3727475.27,4.860052088,0.10409138
Alagnak,2003,3676146,6700355.659,1.822657658,0.075804954
Alagnak,2004,5396592,2514212.283,0.465888895,0.25275543
Alagnak,2005,4218990,2840332.216,0.673225634,0.092367099
Alagnak,2006,1773966,2439864.358,1.375372672,0.424830443
Alagnak,2007,2466414,2209010.438,0.895636514,0.403644033
Alagnak,2008,2180502,1924161.664,0.882439761,0.487028886
Alagnak,2009,970818,1404670.735,1.446893995,0.563305795
Naknek,1963,905358,1706836.104,1.885260973,0.418749994
Naknek,1964,1349604,2223530.819,1.647543145,0.269862979
Naknek,1965,717798,2654768.45,3.698489617,0.32729036
Naknek,1966,1016445,4205622.403,4.137579902,0.602648934
Naknek,1967,755640,1552168.449,2.054111017,0.466754696
Naknek,1968,1023222,638312.0946,0.623825616,0.32257256
Naknek,1969,1331202,2143778.107,1.610407818,0.416448653
Naknek,1970,732502,2535305.635,3.461158652,0.690404462
Naknek,1971,935754,4350422.01,4.649108644,0.704395947
Naknek,1972,586518,1715207.232,2.924389758,0.462254078
Naknek,1973,356676,2742668.661,7.689523996,0.239085933
Naknek,1974,1241058,2642513.165,2.12924228,0.112049217
Naknek,1975,2026686,5195705.443,2.563645993,0.326999834
Naknek,1976,1320750,8991731.928,6.808049917,0.514346033
Naknek,1977,1085856,3721058.768,3.426843677,0.589019024
Naknek,1978,813378,2788295.369,3.42804375,0.627693419
Naknek,1979,925362,3965088.091,4.284904816,0.665052152
Naknek,1980,2644698,4930475.719,1.864286856,0.44722462
Naknek,1981,1796220,4703787.428,2.618714538,0.779187597
Naknek,1982,1155552,1849206.099,1.600279433,0.723707988
Naknek,1983,888294,1482525.744,1.668958412,0.718104176
Naknek,1984,1242474,4489759.982,3.613564535,0.66996406
Naknek,1985,1849938,7264391.053,3.926829468,0.538347564
Naknek,1986,1977645,12744733.85,6.444399199,0.483197208
Naknek,1987,1061806,5533715.964,5.21160736,0.511438588
Naknek,1988,1037862,3025870.944,2.915484857,0.4425951
Naknek,1989,1161984,3133263.116,2.696476988,0.653406038
Naknek,1990,2092578,3997626.351,1.910383437,0.732667904
Naknek,1991,3578508,4629239.36,1.29362275,0.61440022
Naknek,1992,1606650,1481552.806,0.922137868,0.666553144
Naknek,1993,1535658,2704804.139,1.761332366,0.703291872
Naknek,1994,990810,2396222.189,2.418447724,0.709154487
Naknek,1995,1111140,5927765.909,5.334850612,0.640339775
Naknek,1996,1078098,6473143.849,6.004225821,0.755759488
Naknek,1997,1025664,3457635.517,3.371119116,0.355227431
Naknek,1998,1202172,3869571.553,3.218816903,0.444161145
Naknek,1999,1625364,3762439.43,2.31482882,0.622320127
Naknek,2000,1375488,9024550.063,6.560980585,0.52258734
Naknek,2001,1830360,4633412.8,2.531421578,0.444253889
Naknek,2002,1263918,5780189.96,4.573231776,0.156998136
Naknek,2003,1831170,12396540.97,6.769737909,0.100930266
Naknek,2004,1939674,4303688.064,2.218768754,0.345718947
Naknek,2005,2744622,5386596.026,1.962600324,0.397266359
Naknek,2006,1953228,4907170.514,2.512338813,0.369847134
Naknek,2007,2945304,4634051.748,1.57336959,0.432438595
Naknek,2008,2472690,3266706.272,1.321114362,0.714357792
Naknek,2009,1169466,1914526.77,1.637094853,0.754629063
Egegik,1963,997602,993872.335,0.99626137,0.414913038
Egegik,1964,849576,1937882.207,2.280999236,0.556114898
Egegik,1965,1444608,2388485.247,1.653379496,0.675190422
Egegik,1966,804246,2058270.997,2.559255498,0.681471826
Egegik,1967,636864,1631431.112,2.561663262,0.58729861
Egegik,1968,338654,377056.0787,1.113396206,0.601073566
Egegik,1969,1015554,2755727.708,2.713521593,0.393121131
Egegik,1970,919734,1202584.358,1.307534959,0.457954793
Egegik,1971,634014,2700676.428,4.259647938,0.625726616
Egegik,1972,546402,2909902.04,5.325569892,0.590046692
Egegik,1973,328842,1451686.212,4.414540149,0.390245679
Egegik,1974,1275630,2441308.45,1.91380608,0.10684806
Egegik,1975,1173840,3040168.767,2.589934546,0.430852382
Egegik,1976,509160,4480474.69,8.799738177,0.666261993
Egegik,1977,692514,4167610.04,6.018087779,0.742175315
Egegik,1978,895698,9914902.398,11.06947029,0.528057057
Egegik,1979,1032042,4039741.279,3.91431868,0.577811705
Egegik,1980,1060860,8222418.161,7.750709953,0.673469386
Egegik,1981,694680,5441585.875,7.833226629,0.837927928
Egegik,1982,1034628,6435075.21,6.219699457,0.695170505
Egegik,1983,792282,10811632.57,13.64619236,0.901341515
Egegik,1984,1165345,11766356.15,10.09688646,0.778158978
Egegik,1985,1095192,6382682.848,5.827912228,0.861049211
Egegik,1986,1152180,14207133.53,12.33065453,0.785857629
Egegik,1987,1273553,25731443.1,20.20445408,0.792034005
Egegik,1988,1612745,19465141.84,12.06957196,0.794610832
Egegik,1989,1611566,10134483.31,6.288593397,0.828997902
Egegik,1990,2191582,16060318.36,7.328185009,0.820217032
Egegik,1991,2786925,9948962.324,3.569870852,0.686164918
Egegik,1992,1945632,8668646.674,4.455440018,0.883140631
Egegik,1993,1517000,1936033.994,1.276225441,0.933816646
Egegik,1994,1897977,7979478.914,4.204202113,0.845486114
Egegik,1995,1266692,7522880.956,5.938997764,0.914128321
Egegik,1996,1076460,4161327.828,3.8657524,0.91045225
Egegik,1997,1104004,6063052.674,5.49187564,0.848588084
Egegik,1998,1110938,1270507.82,1.143635216,0.746197628
Egegik,1999,1728397,13004487.77,7.52401663,0.723013564
Egegik,2000,1032138,12037957.62,11.66312801,0.866842631
Egegik,2001,968872,4786179.779,4.939950561,0.724846057
Egegik,2002,1036092,5292059.013,5.107711489,0.806228487
Egegik,2003,1152120,8800152.11,7.63822528,0.624740149
Egegik,2004,1290144,14138819.67,10.95910199,0.885284688
Egegik,2005,1621734,6185017.577,3.813829874,0.823063321
Egegik,2006,1465158,3573363.244,2.438892764,0.825081979
Egegik,2007,1432500,6440135.523,4.495731604,0.79065485
Egegik,2008,1259568,3830060.479,3.04077309,0.832616903
Egegik,2009,1146276,4505949.998,3.930946821,0.903036066
Ugashik,1963,388254,132741.1216,0.341892477,0.329030472
Ugashik,1964,472770,274732.5141,0.58111241,0.619800404
Ugashik,1965,996612,392954.454,0.39429031,0.609044731
Ugashik,1966,704436,2388187.349,3.390211955,0.417716158
Ugashik,1967,238830,230350.8759,0.96449724,0.395316188
Ugashik,1968,70896,45087.79009,0.63597086,0.43284738
Ugashik,1969,160380,89242.78943,0.556445875,0.385129587
Ugashik,1970,735024,355709.0587,0.483942101,0.204372314
Ugashik,1971,529752,935802.3052,1.766491311,0.655652645
Ugashik,1972,79428,276169.9061,3.476984264,0.185389645
Ugashik,1973,38988,102308.2307,2.624095382,0.104989888
Ugashik,1974,61854,757906.5805,12.25315389,0.024566481
Ugashik,1975,429336,4125833.633,9.609801258,0.128261941
Ugashik,1976,356308,5801028.784,16.28093892,0.357908432
Ugashik,1977,201520,2853150.988,14.15815298,0.48129559
Ugashik,1978,82435,1194447.869,14.48957202,0.105384081
Ugashik,1979,1706904,6480880.11,3.796862688,0.238866489
Ugashik,1980,3335284,8062936.542,2.417466261,0.235674629
Ugashik,1981,1327699,7976426.002,6.007706568,0.65003879
Ugashik,1982,1185551,2359984.765,1.990622727,0.507195412
Ugashik,1983,1001364,1789219.786,1.786782615,0.746848276
Ugashik,1984,1270318,5529833.793,4.353109846,0.682844762
Ugashik,1985,1006407,2823866.106,2.805888776,0.866838661
Ugashik,1986,1015582,7142617.055,7.033028406,0.843438828
Ugashik,1987,686894,7164346.88,10.43006182,0.755917153
Ugashik,1988,654412,5544645.824,8.472714167,0.686263463
Ugashik,1989,1713287,4913113.706,2.867653642,0.667860361
Ugashik,1990,749478,3858558.506,5.148327911,0.715751408
Ugashik,1991,2482016,6680927.452,2.69173424,0.568072789
Ugashik,1992,2194927,3149040.841,1.434690466,0.6351407
Ugashik,1993,1413454,1357579.561,0.960469574,0.759519595
Ugashik,1994,1095068,1586318.305,1.448602557,0.801642637
Ugashik,1995,1321108,5773749.79,4.370384397,0.769391373
Ugashik,1996,692167,1353867.009,1.955983179,0.868608352
Ugashik,1997,656641,3025122.877,4.606966177,0.717469423
Ugashik,1998,924853,1247104.437,1.348435305,0.477750397
Ugashik,1999,1662042,3674140.362,2.210618241,0.669277048
Ugashik,2000,638420,4355261.162,6.821937223,0.710604253
Ugashik,2001,866368,2184179.78,2.52107624,0.406775615
Ugashik,2002,905584,4599316.46,5.07884024,0.62314355
Ugashik,2003,790202,6372603.184,8.06452424,0.687574681
Ugashik,2004,815104,4531213.119,5.55906132,0.799724124
Ugashik,2005,799612,5265096.241,6.584563815,0.73055914
Ugashik,2006,1003158,3402149.212,3.391439047,0.726607846
Ugashik,2007,2599186,3139803.81,1.207995045,0.63800662
Ugashik,2008,596332,3162448.11,5.303166877,0.7869024
Ugashik,2009,1364338,982677.136,0.720259302,0.634299349
