#MaxStocks				
19				
CU	prSmax	prCV		
SkeenaRivHigh	2003	130	93	0.285
SkeenaRivHigh	2004	208	109	0.264
SkeenaRivHigh	2005	41	NA	0.188
SkeenaRivHigh	2007	20	NA	0.266
SkeenaRivHigh	2008	105	NA	0.281
SkeenaRivHigh	2009	83	NA	0.114
SkeenaRivHigh	2010	4	NA	0.123
Stephens	1954	446	NA	NA
Stephens	1955	1674	NA	NA
Stephens	1956	16739	5554	NA
Stephens	1957	7812	1920	NA
Stephens	1958	7812	6009	NA
Stephens	1959	1674	7685	NA
Stephens	1960	5580	4346	0.438
Stephens	1961	1674	5358	0.414
Stephens	1962	2	9139	0.452
Stephens	1963	7812	13210	0.277
Stephens	1964	3348	14214	0.437
Stephens	1965	1674	13383	0.371
Stephens	1966	3348	13845	0.515
Stephens	1967	4464	14439	0.566
Stephens	1968	7812	15477	0.5
Stephens	1969	7812	16588	0.411
Stephens	1970	7812	13685	0.414
Stephens	1971	7812	6840	0.449
Stephens	1972	7812	8592	0.46
Stephens	1973	7812	7439	0.513
Stephens	1974	7812	8824	0.556
Stephens	1975	7812	13487	0.346
Stephens	1976	893	13518	0.469
Stephens	1977	7812	NA	0.474
Stephens	1978	446	NA	0.494
Stephens	1979	7812	NA	0.461
Stephens	1980	6696	18173	0.487
Stephens	1981	6696	17482	0.471
Stephens	1982	11159	12976	0.538
Stephens	1984	7812	14140	0.374
Stephens	1985	12275	14318	0.479
Stephens	1986	7812	16551	0.416
Stephens	1987	8928	23133	0.272
Stephens	1988	6696	NA	0.543
Stephens	1989	7812	NA	0.431
Stephens	1990	7812	NA	0.46
Stephens	1991	8928	12649	0.472
Stephens	1992	13391	NA	0.525
Stephens	1993	11159	NA	0.525
Stephens	1995	5580	NA	0.542
Stephens	1996	5133	NA	0.629
Stephens	1997	2678	20859	0.65
Stephens	1999	13391	19827	0.137
Stephens	2001	17750	23152	0.38
Stephens	2002	8077	21503	0.447
Stephens	2003	18181	12577	0.285
Stephens	2004	12246	15586	0.264
Stephens	2005	8106	NA	0.188
Stephens	2006	20243	NA	0.42
Stephens	2007	9039	NA	0.266
Stephens	2008	8258	NA	0.281
Stephens	2009	17855	NA	0.114
Stephens	2010	3973	NA	0.123
Swan	1954	118	NA	NA
Swan	1955	946	NA	NA
Swan	1956	3546	NA	NA
Swan	1957	3546	NA	NA
Swan	1958	3546	NA	NA
Swan	1959	355	7428	NA
Swan	1960	3546	8991	0.438
Swan	1963	946	NA	0.277
Swan	1964	7092	NA	0.437
Swan	1965	3546	7391	0.371
Swan	1966	7092	8929	0.515
Swan	1967	11820	12584	0.566
Swan	1969	7092	7596	0.411
Swan	1970	1891	6180	0.414
Swan	1971	7092	2635	0.449
Swan	1972	7092	NA	0.46
Swan	1973	3546	NA	0.513
Swan	1974	3546	NA	0.556
Swan	1975	3546	10055	0.346
Swan	1976	118	13481	0.469
Swan	1977	1891	NA	0.474
Swan	1979	7092	NA	0.461
Swan	1980	3546	19340	0.487
Swan	1981	9456	20856	0.471
Swan	1982	9456	29106	0.538
Swan	1984	11820	35742	0.374
Swan	1985	10402	20707	0.479
Swan	1986	11820	28421	0.416
Swan	1987	23641	41314	0.272
Swan	1988	28369	NA	0.543
Swan	1989	9456	NA	0.431
Swan	1990	11820	NA	0.46
Swan	1991	16549	NA	0.472
Swan	1992	23641	NA	0.525
Swan	1993	18913	NA	0.525
Swan	1995	8984	NA	0.542
Swan	1996	8511	NA	0.629
Swan	1999	4728	7904	0.137
Swan	2001	8317	6267	0.38
Swan	2002	2837	5698	0.447
Swan	2003	5679	5282	0.285
Swan	2004	6203	5189	0.264
Swan	2005	2856	NA	0.188
Swan	2006	5073	NA	0.42
Swan	2007	2340	NA	0.266
Swan	2008	5012	NA	0.281
Swan	2009	3882	NA	0.114
Swan	2010	298	NA	0.123
