"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s"
"Igushik",346819.609804046,272581.119770992,467462.995143239,297904.8,468923.4,394160.4,387979.333333333
"Wood",1677447.06866028,1265445.14963616,2317392.55366871,1110562,1269060,1407597.6,1758026
"Nushagak",884731.898153427,589494.122675217,278294982.569337,446952.774236,973323.86197,555362.78763,620231.294433333
"Kvichak",6402387.85217163,4639747.89282803,8945053.46611942,5380765.6,6629408.2,4978579.2,2467665.33333333
"Alagnak",809922.211758596,631212.762806086,1045688.40432853,239207.05,465326.55,693569.4,2459026.66666667
"Naknek",1912396.93213799,1257830.40283131,3858188.68881609,1002454,1481647.3,1584664.2,2016714.66666667
"Egegik",3537449.07882002,2077595.6306296,6364559.38993997,800787.6,1149303.1,1662560.7,1263607.11111111
"Ugashik",1776824.63203281,1166316.47633457,2855192.45530029,422154.9,1319679.8,1319175.4,1082209.33333333
