CU,BY,ER,Esc,male_spawn,female_spawn,mature_spawn,effective_spawn,R2.1,R3.1,R3.2,R4.1,R4.2,R4.3,R5.2,R5.3,R6.2,R6.3,R.no.jacks,Rec,Use
E.Stuart,1995,0.111859009,122862,57658,65198,122856,57322,0,0,20,0,170595,0,18985,0,0,0,189580,189600,y
E.Stuart,1996,0.083526949,88453,44410,43202,87612,41063,0,0,0,0,359206,0,104940,0,0,0,464146,464146,y
E.Stuart,1997,0.461620463,266946,176537,90404,266941,73417,0,0,1,0,109249,0,38121,201,0,0,147571,147572,y
E.Stuart,1998,0.110771864,32590,15889,16681,32570,9375,0,0,2,0,24341,0,4349,0,0,0,28690,28692,y
E.Stuart,1999,0.156174431,24550,14925,9627,24552,8189,0,0,0,0,25927,0,4639,0,0,0,30566,30566,y
E.Stuart,2000,0.597469714,89859,49915,39943,89858,35334,0,0,0,0,132457,0,3417,0,0,0,135874,135874,y
E.Stuart,2001,0.202067362,170983,81762,89219,170981,82849,0,,5,,216279,,35722,,,,252001,252006,y
E.Stuart,2002,0.091234062,24637,11229,13408,24637,12939,0,,,,20266,,4300,,,19,24585,24585,y
E.Stuart,2003,0.038344916,13166,5990,7176,13166,6932,0,,,,8431,,1588,12,0,0,10031,10031,y
E.Stuart,2004,0.297271632,9286,3907,5374,9281,5253,0,,,,32387,,5077,0,0,0,37464,37464,y
E.Stuart,2005,0.097841562,98537,46983,51554,98537,51183,,,49,0,76119,0,7844,1020,0,0,84983,85032,y
E.Stuart,2006,0.136705145,35816,18013,17803,35816,15914,,0,0,0,96013,0,10603,0,0,0,106616,106616,y
E.Stuart,2007,0.076284884,5347,2579,2768,5347,2376,,0,0,0,10551,0,147,0,0,0,10698,10698,y
E.Stuart,2008,0.121704613,29916,13438,16429,29867,14446,,0,1,0,183792,0,9159,131,0,0,193081,193082,y
E.Stuart,2009,0.117459429,45297,22235,23062,45297,21884,,0,3,0,172778,0,30113,0,0,0,202891,202894,y
E.Stuart,2010,0.058471842,60262,23048,37214,60262,34198,,0,53,0,191813,0,26479,0,,,218291,218344,y
E.Stuart,2011,0.105404031,758,471,286,757,233,,0,3,0,2259,0,735,368,,,3362,3365,y
L.Stuart,1952,0.89,1975,18,17,35,16,0,0,86,0,3858,0,29,0,0,0,3887,3973,y
L.Stuart,1953,0.76,369023,195538,173096,368634,78689,0,0,830,0,1548072,0,1470,1867,0,0,1551409,1552239,y
L.Stuart,1954,0.85,5470,2742,2728,5470,2687,0,0,150,0,135111,0,2704,0,0,0,137815,137965,y
L.Stuart,1955,0.87,7618,4133,3449,7582,3274,0,0,29,0,50196,0,1120,0,0,0,51316,51345,y
L.Stuart,1956,0.92,1454,401,512,913,466,0,0,0,0,13472,0,32630,0,0,0,46102,46102,y
L.Stuart,1957,0.66,531130,217598,313510,531108,300029,0,0,874,0,1327094,0,1916,0,0,0,1329010,1329884,y
L.Stuart,1958,0.83,23638,10467,13152,23619,13152,0,0,672,0,53044,0,961,0,0,0,54005,54677,y
L.Stuart,1959,0.84,8225,4015,4210,8225,4090,0,0,67,0,6092,0,1233,0,0,0,7325,7392,y
L.Stuart,1960,0.84,2961,1042,1354,2396,1307,0,0,27,0,6658,0,2932,0,0,0,9590,9617,y
L.Stuart,1961,0.7,411105,162396,248491,410887,194469,0,0,143,0,770385,0,7535,415,0,0,778335,778478,y
L.Stuart,1962,0.66,18689,7877,10766,18643,9073,0,0,45,0,43107,0,1917,0,0,0,45024,45069,y
L.Stuart,1963,0.54,3237,1758,1464,3222,1092,0,0,25,0,11911,0,113,0,0,0,12024,12049,y
L.Stuart,1964,0.8,1900,992,824,1816,824,0,0,60,0,1806,0,1235,0,0,0,3041,3101,y
L.Stuart,1965,0.72,214958,84219,130724,214943,122789,0,0,228,0,1102448,0,21752,91,0,0,1124291,1124519,y
L.Stuart,1966,0.82,9032,4320,4707,9027,4164,0,0,274,0,71954,0,1851,0,0,0,73805,74079,y
L.Stuart,1967,0.88,1642,686,943,1629,897,0,0,224,0,6294,0,10038,0,0,0,16332,16556,y
L.Stuart,1968,0.8,470,193,196,389,179,0,0,0,0,27393,0,3906,0,0,0,31299,31299,y
L.Stuart,1969,0.81,207057,85580,121434,207014,114306,0,0,2756,0,1602892,54,19888,0,0,0,1622780,1625590,y
L.Stuart,1970,0.84,15055,6799,8179,14978,8027,0,0,318,0,70520,0,0,0,0,0,70520,70838,y
L.Stuart,1971,0.81,1535,756,779,1535,725,0,0,1243,0,65527,0,0,0,0,0,65527,66770,y
L.Stuart,1972,0.8,8704,3930,3411,7341,3411,0,0,0,0,16180,0,2586,0,0,0,18766,18766,y
L.Stuart,1973,0.87,214343,93027,121203,214230,116706,0,0,290,0,658158,0,5807,1843,0,0,665808,666098,y
L.Stuart,1974,0.84,14627,6653,7537,14190,7371,0,0,855,0,48593,0,1268,0,0,0,49861,50716,y
L.Stuart,1975,0.78,14229,7055,7174,14229,5679,0,0,541,0,214097,0,478,0,0,0,214575,215116,y
L.Stuart,1976,0.82,3000,1176,1722,2898,1674,0,0,0,0,3339,0,0,0,0,0,3339,3339,y
L.Stuart,1977,0.78,146629,69115,77344,146459,75890,0,0,104,0,1313861,0,43776,0,0,0,1357637,1357741,y
L.Stuart,1978,0.77,13027,5623,7115,12738,7115,0,0,699,0,69820,0,8928,0,0,0,78748,79447,y
L.Stuart,1979,0.85,31918,15207,16711,31918,16711,0,0,0,0,6854,0,0,0,0,0,6854,6854,y
L.Stuart,1980,0.74,979,456,490,946,286,0,0,0,0,21440,0,0,0,0,0,21440,21440,y
